job_id,category,title,description
76,Eligibility,10th Pass,Aged 18-33. Matric.
76,Exam Pattern,RRB Group D,CBT + PET.
76,Key Role,Track Maintainer,Inspects and repairs rail lines.
76,Salary & Benefits,Group D Benefits,"Starting ₹18,000 (Level 1) + OT. Gross ~₹25K-35K/month."
77,Eligibility,Diploma Engineering,Aged 18-33. Diploma in relevant field.
77,Exam Pattern,RRB JE CBT,"CBT 1 (100 marks), CBT 2 (150 marks)."
77,Key Role,Junior Engineer,Maintains railway engineering works.
77,Salary & Benefits,JE Scale,"Starting ₹35,400 (Level 6) + technical pay. Gross ~₹50K-70K/month."
78,Eligibility,10th + ITI,Aged 18-30. Matric + trade certificate.
78,Exam Pattern,RRB ALP CBT,CBT 1/2 + aptitude test.
78,Key Role,Assistant Loco Pilot,Assists in train locomotive operations.
78,Salary & Benefits,ALP Pay,"Starting ₹19,900 (Level 2) + running allowance. Gross ~₹40K-60K/month."
79,Eligibility,Graduation,Aged 20-25. Bachelor's.
79,Exam Pattern,UPSC CAPF,"Written (450 marks), PET, Interview (200 marks)."
79,Key Role,Paramilitary Commandant,Leads CAPF units in internal security.
79,Salary & Benefits,CAPF Assistant Pay,"Starting ₹56,100 (Level 10) + uniform. Gross ~₹1-1.3L/month."
80,Eligibility,Military Experience Preferred,Up to 42. Graduation.
80,Exam Pattern,TA Screening + Services Test,"Written, SSB-like process."
80,Key Role,Territorial Army Officer,Part-time defence service during emergencies.
80,Salary & Benefits,TA Emoluments,"Starting ₹56,100 (Level 10) + annual camp pay. Gross ~₹80K-1L/month active."
81,Eligibility,Flying Aptitude,Aged 20-24. Graduation.
81,Exam Pattern,AFCAT + AFSB,"Written (300 marks), SSB (6 days)."
81,Key Role,Air Force Flying Officer,Pilots combat/support aircraft.
81,Salary & Benefits,IAF Pay + Flying Allowance,"Starting ₹56,100 (Level 10) + 28K flying pay. Gross ~₹1.2-1.8L/month."
82,Eligibility,Teaching Qualification,Up to 40. B.Ed + CTET.
82,Exam Pattern,CTET Papers,Paper 1/2 (150 marks each).
82,Key Role,Govt School Teacher,Imparts primary/secondary education.
82,Salary & Benefits,Teacher Pay Commission,"Starting ₹44,900 (Level 7) + DA. Medical. Gross ~₹60K-80K/month."
83,Eligibility,Research-Oriented PhD,No limit. PhD + publications.
83,Exam Pattern,UGC NET + Interview,NET qualifying + selection.
83,Key Role,College Assistant Professor,Teaches and researches in higher education.
83,Salary & Benefits,Academic Level 10,"Starting ₹57,700 + increments. Grants. Gross ~₹90K-1.2L/month."
84,Eligibility,GATE Score,Aged 21-27. B.Tech.
84,Exam Pattern,GATE + BHEL Test,GATE (qualifying) + interview.
84,Key Role,BHEL PSU Engineer,Designs power equipment and turbines.
84,Salary & Benefits,ETR Pay,"Starting ₹60,000 (Level 10) + bond period. Gross ~₹90K-1.2L/month."
85,Eligibility,Insurance Sales Fit,Aged 21-30. Graduation.
85,Exam Pattern,LIC ADO Exam,"Prelims (100 marks), Mains (300 marks)."
85,Key Role,Development Officer,Recruits agents and promotes policies.
85,Salary & Benefits,ADO Incentives,"Starting ₹32,795 (Level 7) + commissions. Gross ~₹50K-1L/month."
86,Eligibility,Any Bachelor's,Aged 21-30. Graduation.
86,Exam Pattern,NIACL Prelims/Mains,"Prelims (100 marks), Mains (250 marks + descriptive)."
86,Key Role,Administrative Officer,Underwrites risks and claims in non-life insurance.
86,Salary & Benefits,AO Scale,"Starting ₹32,795 (Level 7) + bonuses. Medical. Gross ~₹50K-80K/month."
87,Eligibility,Law Degree,Up to 35. LLB.
87,Exam Pattern,Judicial Services Exam,"Prelims, Mains (written), Viva."
87,Key Role,Civil Judge,Adjudicates civil/criminal cases at district level.
87,Salary & Benefits,Judicial Pay,"Starting ₹77,840 (Level 10) + allowances. Housing. Gross ~₹1.2-1.8L/month."
88,Eligibility,Legal Expertise,Up to 40. LLB + experience.
88,Exam Pattern,PSU Legal Exam,Written + interview.
88,Key Role,PSU Legal Advisor,"Handles contracts, litigation for public companies."
88,Salary & Benefits,Legal Officer Pay,"Starting ₹47,600 (Level 8) + retention bonus. Gross ~₹80K-1.2L/month."
89,Eligibility,Commerce Graduation,Aged 18-27. Bachelor's.
89,Exam Pattern,CGL Tiers 1-2,Objective tests.
89,Key Role,Audit Auditor,Verifies govt accounts for irregularities.
89,Salary & Benefits,Auditor Grade,"Starting ₹29,200 (Level 5) + DA. Gross ~₹45K-60K/month."
90,Eligibility,Any Degree,Aged 18-27. Graduation.
90,Exam Pattern,SSC CGL Process,"Tier 1 (200 marks), Tier 2."
90,Key Role,Tax Assistant,Supports tax filing and records.
90,Salary & Benefits,TA Pay Band,"Starting ₹25,500 (Level 4) + HRA. Gross ~₹40K-55K/month."
91,Eligibility,Commerce Focus,Aged 18-30. Graduation in commerce.
91,Exam Pattern,CGL Tier 2 Finance,200 marks specialized.
91,Key Role,AAO in CAG,Pre-audits expenditures for accuracy.
91,Salary & Benefits,AAO Benefits,"Starting ₹47,600 (Level 8) + audit perks. Gross ~₹70K-1L/month."
92,Eligibility,Graduation,Aged 18-27. Bachelor's.
92,Exam Pattern,CGL Tiers + PET,Standard with physical.
92,Key Role,Excise Inspector,Inspects manufacturing units for duties.
92,Salary & Benefits,Inspector Pay,"Starting ₹44,900 (Level 7) + travel. Gross ~₹70K-90K/month."
93,Eligibility,Any Degree,Aged 18-27. Graduation.
93,Exam Pattern,CGL Process + PET,Tiers 1-4.
93,Key Role,Preventive Customs Officer,Prevents smuggling at ports/airports.
93,Salary & Benefits,PO Preventive,"Starting ₹44,900 (Level 7) + risk pay. Gross ~₹70K-90K/month."
94,Eligibility,Petroleum Engineering,Aged 21-30. B.Tech in relevant.
94,Exam Pattern,ONGC GATE + Test,GATE score + written/interview.
94,Key Role,Oil Exploration Engineer,Drills and explores hydrocarbon reserves.
94,Salary & Benefits,ONGC Trainee Pay,"Starting ₹60,000 (Level 10) + oil field allowance. Gross ~₹1-1.5L/month."
95,Eligibility,Chemical/Mech Engg,Aged 18-26. B.Tech.
95,Exam Pattern,IOCL GATE,GATE + GD/PI.
95,Key Role,Refinery Engineer,Operates oil refineries and processes.
95,Salary & Benefits,IOCL ETR,"Starting ₹60,000 (Level 10) + canteen. Gross ~₹1-1.5L/month."
96,Eligibility,Electrical Engineering,Aged 21-27. B.Tech.
96,Exam Pattern,NTPC GATE,GATE qualifying + test.
96,Key Role,Power Plant Executive,Manages electricity generation and distribution.
96,Salary & Benefits,NTPC ET Pay,"Starting ₹50,000 (Level 10) + power perks. Gross ~₹90K-1.3L/month."
97,Eligibility,Mech/Elec Engg,Aged 18-27. B.Tech.
97,Exam Pattern,BHEL Recruitment,GATE + exam/interview.
97,Key Role,Heavy Electrical Engineer,Builds transformers and turbines for power.
97,Salary & Benefits,BHEL Trainee Scale,"Starting ₹60,600 (Level 10) + bond. Gross ~₹1-1.4L/month."
98,Eligibility,Aeronautical/Mech,Aged 21-30. B.Tech.
98,Exam Pattern,HAL Test,Written + interview.
98,Key Role,Aircraft Manufacturing Engineer,Designs and assembles defence aircraft.
98,Salary & Benefits,HAL Graduate Pay,"Starting ₹60,000 (Level 10) + aviation allowance. Gross ~₹1-1.5L/month."
99,Eligibility,Mining/Engg,Aged 18-30. B.Tech.
99,Exam Pattern,Coal India Exam,Online test + interview.
99,Key Role,Coal Mining Officer,Oversees extraction and safety in mines.
99,Salary & Benefits,CIL MT Pay,"Starting ₹50,000 (Level 10) + mine safety gear. Gross ~₹90K-1.3L/month."
100,Eligibility,Chem/Engg Grad,Aged 18-27. B.Tech.
100,Exam Pattern,GAIL Test,GATE + selection process.
100,Key Role,Gas Pipeline Engineer,Manages natural gas transmission networks.
100,Salary & Benefits,GAIL ETP,"Starting ₹60,000 (Level 10) + gas sector perks. Gross ~₹1-1.5L/month."
